,Muestra_x,ID1_x,ID2,tipo_x,1_Vtasdivact totales_x,2_Vtasdivpatrimonio_x,3_Cap trabdivAct Totales_x,4_LnVentas__x,5_LnActivos totales__x,6_Gtos finandivRes Operac_x,7_EbitdadivPas_exig_x,8_GFdivEbitda_x,Muestra_y,ID1_y,tipo_y,1_Vtasdivact totales_y,2_Vtasdivpatrimonio_y,3_Cap trabdivAct Totales_y,4_LnVentas__y,5_LnActivos totales__y,6_Gtos finandivRes Operac_y,7_EbitdadivPas_exig_y,8_GFdivEbitda_y,9_VtasdivDeuda Total,10_VtasdivUt Neta,11_Ut NetadivAct totales,12_Cap trabdivAct Totales,13_Cap trabdivVtas-Ut Neta_,14_Raz Corriente,15_Pas Circ+Pas LP_divAct Totales_,16_Act TotalesdivPas_Exig,17_PatrimdivPas Exigible
0,2.0,1.0,203,1.0,0.292054198,-0.72804975,-0.138076172,10.84501709,12.07583297,-0.583680692,-0.168030438,-0.006096233,2.0,1.0,1.0,0.292054198,-0.72804975,-0.138076172,10.84501709,12.07583297,-0.583680692,-0.168030438,-0.006096233,0.208439529,-2.006338524,-0.145565763,-0.138076172,-0.315516164,0.70922241,1.401145936,0.713701531,-0.286298469
1,1.0,9.0,26,0.0,1.480727632,1.856709917,0.770252414,14.80943729,14.41690368,0.724453208,0.196496812,0.075739629,1.0,9.0,0.0,1.480727632,1.856709917,0.770252414,14.80943729,14.41690368,0.724453208,0.196496812,0.075739629,7.312263865,7.578469789,0.195386097,0.770252414,0.599258947,4.803730527,0.202499207,4.938290951,3.938290951
2,1.0,25.0,72,0.0,1.076306164,1.358535448,0.479122193,15.40919178,15.33565682,-144.5686303,-2.137445697,-0.000482722,,,,,,,,,,,,,,,,,,,,
3,2.0,19.0,179,1.0,0.441665108,0.677813188,0.088797497,14.885985,15.70318836,105.0243142,-0.233359512,0.0,,,,,,,,,,,,,,,,,,,,
4,1.0,30.0,88,0.0,0.959663192,1.791071157,0.238934946,14.80181156,14.84298446,3.354523874,-0.763845229,-0.096119934,1.0,30.0,0.0,0.959663192,1.791071157,0.238934946,14.80181156,14.84298446,3.354523874,-0.763845229,-0.096119934,2.06736661,16.2565965,0.059032233,0.238934946,0.265297282,1.763432142,0.464195943,2.154262689,1.154262689
5,1.0,17.0,48,0.0,1.090313051,1.687674447,0.504738173,14.53970766,14.4532428,0.338895094,0.115900136,0.0,,,,,,,,,,,,,,,,,,,,
6,2.0,25.0,194,1.0,1.114704308,-6.158079215,-0.064702377,12.90938548,12.8007963,4.621841056,-0.221668905,-0.029546269,2.0,25.0,1.0,1.114704308,-6.158079215,-0.064702377,12.90938548,12.8007963,4.621841056,-0.221668905,-0.029546269,0.943852847,14.95787525,0.074522904,-0.064702377,-0.062202974,0.80360552,1.181014935,0.846729343,-0.153270657
7,1.0,27.0,78,0.0,1.868976401,2.918903165,0.601101549,12.76721299,12.14182208,1.732506125,-0.539495724,-8.24e-05,,,,,,,,,,,,,,,,,,,,
8,2.0,28.0,201,1.0,1.778527665,3.997256589,0.340590705,14.52481107,13.9490252,3.806076846,-1.050464493,-0.041575187,,,,,,,,,,,,,,,,,,,,
9,2.0,16.0,170,1.0,0.466260815,2.99957556,0.120834895,11.95425309,12.7172632,-3.197599195,-0.890477306,-0.068678273,,,,,,,,,,,,,,,,,,,,
